city_x	station_id	request_date	answer_date	bike_available	name	address	banking	bonus	bike_stands	available_bike_stands	available_bikes	status	last_update	city_y	id	company	latitude	longitude	altitude	id_pollution	dist_bike_pollution
amiens	4	2022-06-02T17:57:13	2022-06-02T20:01	6	004-MOULIN	18, rue du Moulin	False	False	15	7.0	8.0	OPEN	1650455281000.0	nantes	4	JCDeceaux	47.2166675820152	-1.5543847138777	13.0	FR23140	1.3776067635323428
amiens	4	2022-06-02T17:57:13	2022-06-02T20:01	6	04- MUSEE DES BEAUX ARTS	DEVANT N° 39 ALLEE EUGENE DELACROIX	True	False	20	12.0	8.0	OPEN	1650455353000.0	rouen	4	JCDeceaux	49.44430797679112	1.093579586130271	27.0	FR25036	0.2174811782973953
amiens	4	2022-06-02T17:57:13	2022-06-02T20:01	6	00004 - SAINTE-URSULE	15 RUE SAINTE-URSULE	True	False	20	7.0	13.0	OPEN	1650455710000.0	toulouse	4	JCDeceaux	43.6023360927912	1.44204743783867	156.0	FR12008	0.2624125556516684
amiens	4	2022-06-02T17:57:13	2022-06-02T20:01	6	004 Hôtel de Ville				16					montpellier	4	En regie	43.599088	3.894866	15.0	FR08016	1.1824364615367644
amiens	24	2022-06-02T17:53:13	2022-06-02T20:01	9	24- COLISEUM	Boulevard Faidherbe	True	False	20	7.0	13.0	OPEN	1650455303000.0	amiens	24	JCDeceaux	49.89413492763881	2.287054048660281	31.0	FR18079	1.9374547449075488
amiens	24	2022-06-02T17:53:13	2022-06-02T20:01	9	24 - MEDIATHEQUE	Rue de la République angle rue d'Alsace face à la médiathèque	False	False	10	7.0	3.0	OPEN	1650455495000.0	besancon	24	JCDeceaux	47.240083	6.027359	244.0	FR82001	0.6162642776156628
amiens	24	2022-06-02T17:53:13	2022-06-02T20:01	9	24 - TIVOLI	Rue de Tivoli angle Bd Wallack	False	False	13	10.0	3.0	OPEN	1650455320000.0	mulhouse	24	JCDeceaux	47.74305508622176	7.347364171170129	241.0	FR16057	1.5979085064777925
amiens	24	2022-06-02T17:53:13	2022-06-02T20:01	9	00024 - 3 MAISONS - CHARLES V (CB)	rue du faubourg des 3 Maisons - Angle boulevard Charles V	True	False	23	16.0	7.0	OPEN	1650455444000.0	nancy	24	JCDeceaux	48.701365	6.176824	198.0	FR30036	0.4762858255910515
amiens	24	2022-06-02T17:53:13	2022-06-02T20:01	9	24 - HANGAR 108	Allée Jean de Béthencourt devant LE HANGAR 108 76100 ROUEN	True	False	40	23.0	17.0	OPEN	1650455136000.0	rouen	24	JCDeceaux	49.441286	1.07176	5.0	FR25037	0.8226002093305815
amiens	24	2022-06-02T17:53:13	2022-06-02T20:01	9	00024 - PLACE SAINT-ETIENNE	14 PL SAINT-ETIENNE	True	False	22	1.0	21.0	OPEN	1650455527000.0	toulouse	24	JCDeceaux	43.6003986674123	1.45017910039206	156.0	FR12008	0.830621023821173
amiens	24	2022-06-02T17:53:13	2022-06-02T20:01	9	024 Cité Mion				8					montpellier	24	En regie	43.601143	3.884373	34.0	FR08004	1.0967131411460738
amiens	25	2022-06-02T17:52:55	2022-06-02T20:01	9	25- LA HOTOIE	Bd des Fédérés	True	False	20	13.0	7.0	OPEN	1650455592000.0	amiens	25	JCDeceaux	49.896862536806346	2.282867747579433	25.0	FR18079	2.1830089749073505
amiens	25	2022-06-02T17:52:55	2022-06-02T20:01	9	25 - MORAND	2 rue Morand	False	False	12	8.0	4.0	OPEN	1650455686000.0	besancon	25	JCDeceaux	47.238133	6.026309	254.0	FR82001	0.3825496143005784
amiens	25	2022-06-02T17:52:55	2022-06-02T20:01	9	25 - PALAIS DES SPORTS	Rue du Château Zu-Rhein angle Rue de Hirsingue	False	False	11	9.0	2.0	OPEN	1650455216000.0	mulhouse	25	JCDeceaux	47.740487	7.320169	241.0	FR16069	0.8069979799681273
